Module                  Size  Used by
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
rfcomm                106496  4
snd_seq               139264  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
ccm                    20480  6
tun                    73728  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 36864  6 algif_hash,algif_skcipher
bnep                   36864  2
uvcvideo              188416  0
btusb                  81920  0
uvc                    12288  1 uvcvideo
btbcm                  24576  1 btusb
videobuf2_vmalloc      20480  1 uvcvideo
btintel                77824  1 btusb
videobuf2_memops       16384  1 videobuf2_vmalloc
btrtl                  32768  1 btusb
videobuf2_v4l2         36864  1 uvcvideo
btmtk                  36864  1 btusb
videobuf2_common       94208  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
videodev              421888  2 videobuf2_v4l2,uvcvideo
bluetooth            1142784  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_hda_codec_intelhdmi    28672  1
vfat                   24576  1
fat                   110592  1 vfat
snd_sof_pci_intel_tgl    12288  0
snd_sof_pci_intel_cnl    20480  1 snd_sof_pci_intel_tgl
snd_sof_intel_hda_generic    40960  2 snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
soundwire_intel        94208  1 snd_sof_intel_hda_generic
soundwire_cadence      65536  1 soundwire_intel
snd_sof_intel_hda_sdw_bpt    20480  1 soundwire_intel
snd_sof_intel_hda_common   208896  4 snd_sof_intel_hda_sdw_bpt,snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda      20480  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda_mlink    40960  4 snd_sof_intel_hda_sdw_bpt,soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_pci            24576  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
snd_sof               491520  6 snd_sof_intel_hda_sdw_bpt,snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_cnl
intel_uncore_frequency    12288  0
snd_sof_utils          16384  1 snd_sof
ucsi_acpi              12288  0
intel_uncore_frequency_common    20480  1 intel_uncore_frequency
typec_ucsi             73728  1 ucsi_acpi
